Sample Number,Timestamp,Temperature (Â°C),Pressure (hPa),Humidity (%)
5,2025-04-09 15:28:22.754,24.572,1158.59,35.82
1,2025-04-09 15:28:22.758,24.572,1003.55,35.82
2,2025-04-09 15:28:22.955,24.294,1399.64,35.83
6,2025-04-09 15:28:22.956,24.294,1003.56,35.83
3,2025-04-09 15:28:23.156,24.311,1003.6,35.8
7,2025-04-09 15:28:23.159,24.301,1003.59,35.8
4,2025-04-09 15:28:23.353,24.344,1380.33,35.81
8,2025-04-09 15:28:23.356,24.344,1003.56,35.81
9,2025-04-09 15:28:23.484,24.344,1003.56,35.82
5,2025-04-09 15:28:23.596,24.33,1003.59,35.78
6,2025-04-09 15:28:23.797,24.354,1003.61,35.6
10,2025-04-09 15:28:23.798,24.366,1381.68,35.6
7,2025-04-09 15:28:23.955,24.39,1378.63,35.82
11,2025-04-09 15:28:23.957,24.39,1003.6,35.82
12,2025-04-09 15:28:24.141,24.371,1003.54,35.82
8,2025-04-09 15:28:24.142,24.371,1003.57,35.82
9,2025-04-09 15:28:24.396,24.322,1003.59,35.59
13,2025-04-09 15:28:24.398,24.339,1392.63,35.59
14,2025-04-09 15:28:24.484,24.375,1003.59,35.76
10,2025-04-09 15:28:24.594,24.368,1003.61,35.8
11,2025-04-09 15:28:24.734,24.404,1003.51,35.77
15,2025-04-09 15:28:24.742,24.404,1003.58,35.77
16,2025-04-09 15:28:24.955,24.373,1550.51,35.78
12,2025-04-09 15:28:25.000,24.342,1003.61,35.57
13,2025-04-09 15:28:25.154,24.387,1373.37,35.76
17,2025-04-09 15:28:25.156,24.387,1003.61,35.76
18,2025-04-09 15:28:25.284,24.383,1003.61,35.76
14,2025-04-09 15:28:25.395,24.346,1003.59,35.75
19,2025-04-09 15:28:25.484,24.387,1003.59,35.7
15,2025-04-09 15:28:25.592,24.385,1003.63,35.72
16,2025-04-09 15:28:25.756,24.416,1550.61,35.77
20,2025-04-09 15:28:25.757,24.416,1003.57,35.77
21,2025-04-09 15:28:25.957,24.38,1550.53,35.75
17,2025-04-09 15:28:25.957,24.38,1003.55,35.75
22,2025-04-09 15:28:26.156,24.349,1550.51,35.76
18,2025-04-09 15:28:26.200,24.342,1003.59,35.54
23,2025-04-09 15:28:26.342,24.383,1003.58,35.75
19,2025-04-09 15:28:26.393,24.342,1003.6,35.53
24,2025-04-09 15:28:26.498,24.411,1003.6,35.71
20,2025-04-09 15:28:26.555,140.804,1003.59,35.56
25,2025-04-09 15:28:26.757,24.39,1550.55,35.74
21,2025-04-09 15:28:26.758,24.39,1003.59,35.74
26,2025-04-09 15:28:26.959,24.356,1181.92,35.73
22,2025-04-09 15:28:26.962,24.344,1003.57,35.73
27,2025-04-09 15:28:27.193,24.383,1211.61,35.75
23,2025-04-09 15:28:27.197,24.337,1003.56,35.75
28,2025-04-09 15:28:27.357,24.409,1363.22,35.75
24,2025-04-09 15:28:27.400,24.38,1003.59,35.52
29,2025-04-09 15:28:27.486,24.419,1003.59,35.64
25,2025-04-09 15:28:27.596,24.392,1003.6,35.7
30,2025-04-09 15:28:27.758,24.438,530.28,35.69
26,2025-04-09 15:28:27.760,24.399,949.8,35.69
31,2025-04-09 15:28:27.956,24.428,1550.65,35.7
27,2025-04-09 15:28:28.001,24.395,1003.59,35.5
32,2025-04-09 15:28:28.148,24.43,1003.58,35.7
28,2025-04-09 15:28:28.156,24.43,1003.6,35.7
33,2025-04-09 15:28:28.360,24.404,1192.93,35.7
29,2025-04-09 15:28:28.367,24.368,1003.58,35.7
34,2025-04-09 15:28:28.516,24.402,1493.92,35.71
30,2025-04-09 15:28:28.560,24.402,1003.61,35.46
35,2025-04-09 15:28:28.736,24.399,1003.58,35.69
31,2025-04-09 15:28:28.797,24.366,1003.59,35.5
32,2025-04-09 15:28:29.000,24.39,1003.55,35.5
36,2025-04-09 15:28:29.001,24.402,1357.95,35.5
33,2025-04-09 15:28:29.087,24.419,1003.55,35.62
37,2025-04-09 15:28:29.205,24.402,1003.6,35.69
34,2025-04-09 15:28:29.287,24.433,1003.6,35.6
38,2025-04-09 15:28:29.396,24.404,1003.56,35.67
39,2025-04-09 15:28:29.486,24.435,1003.56,35.64
35,2025-04-09 15:28:29.596,24.414,1003.59,35.67
36,2025-04-09 15:28:29.758,24.443,1349.19,35.7
40,2025-04-09 15:28:29.760,24.443,1003.56,35.7
41,2025-04-09 15:28:29.999,24.411,519.61,35.46
37,2025-04-09 15:28:30.000,-6.817,1003.56,35.46
42,2025-04-09 15:28:30.184,24.411,1003.57,35.68
38,2025-04-09 15:28:30.185,24.404,1003.57,35.68
43,2025-04-09 15:28:30.359,24.435,519.49,35.66
39,2025-04-09 15:28:30.361,24.435,949.73,35.66
44,2025-04-09 15:28:30.558,24.404,1197.35,35.67
40,2025-04-09 15:28:30.603,24.378,1003.61,35.43
45,2025-04-09 15:28:30.759,24.416,1357.55,35.67
41,2025-04-09 15:28:30.803,24.406,1003.56,35.44
46,2025-04-09 15:28:30.961,24.435,530.22,35.67
42,2025-04-09 15:28:30.962,-127.28,949.75,35.67
47,2025-04-09 15:28:31.089,24.438,1003.56,35.66
43,2025-04-09 15:28:31.198,24.419,1003.56,35.64
44,2025-04-09 15:28:31.399,24.416,1003.58,35.46
48,2025-04-09 15:28:31.400,24.447,1351.85,35.46
49,2025-04-09 15:28:31.563,24.447,530.18,35.66
45,2025-04-09 15:28:31.564,-127.28,949.73,35.66
50,2025-04-09 15:28:31.757,24.445,1003.56,35.68
46,2025-04-09 15:28:31.761,149.42,1003.56,35.68
47,2025-04-09 15:28:31.965,24.344,1003.56,35.65
48,2025-04-09 15:28:32.161,24.327,1003.57,35.64
49,2025-04-09 15:28:32.361,24.327,1003.55,35.64
50,2025-04-09 15:28:32.564,24.318,1003.59,35.66
